id,price_range
0,3
1,2
2,3
3,0
4,3
5,1
6,3
7,0
8,3
9,1
10,3
11,2
12,2
13,0
14,3
15,0
16,1
17,1
18,0
19,2
20,1
21,1
22,0
23,0
24,0
25,1
26,1
27,3
28,2
29,1
30,3
31,2
32,3
33,2
34,2
35,3
36,2
37,3
38,2
39,0
40,0
41,2
42,0
43,2
44,1
45,0
46,1
47,3
48,1
49,3
50,1
51,3
52,3
53,0
54,1
55,3
56,3
57,3
58,3
59,2
60,1
61,3
62,3
63,0
64,3
65,2
66,2
67,1
68,2
69,1
70,1
71,3
72,1
73,0
74,1
75,3
76,0
77,2
78,1
79,0
80,3
81,3
82,0
83,2
84,3
85,0
86,3
87,3
88,0
89,3
90,0
91,1
92,0
93,3
94,1
95,0
96,2
97,3
98,2
99,2
100,2
101,1
102,0
103,3
104,3
105,2
106,3
107,2
108,3
109,3
110,3
111,3
112,2
113,3
114,3
115,3
116,0
117,3
118,0
119,3
120,0
121,3
122,1
123,3
124,3
125,1
126,2
127,2
128,1
129,3
130,3
131,1
132,0
133,0
134,3
135,0
136,0
137,1
138,3
139,0
140,1
141,3
142,2
143,1
144,3
145,1
146,1
147,2
148,2
149,3
150,3
151,1
152,0
153,2
154,1
155,1
156,3
157,0
158,0
159,3
160,3
161,3
162,0
163,2
164,2
165,0
166,0
167,0
168,0
169,3
170,3
171,0
172,0
173,1
174,1
175,1
176,3
177,0
178,2
179,0
180,2
181,1
182,1
183,2
184,1
185,2
186,1
187,3
188,1
189,0
190,3
191,1
192,0
193,1
194,2
195,0
196,1
197,3
198,3
199,1
200,2
201,1
202,2
203,3
204,1
205,3
206,2
207,3
208,0
209,3
210,1
211,2
212,3
213,1
214,3
215,3
216,2
217,0
218,0
219,3
220,2
221,3
222,3
223,3
224,0
225,3
226,0
227,2
228,0
229,2
230,1
231,2
232,2
233,0
234,3
235,0
236,0
237,3
238,3
239,3
240,0
241,0
242,2
243,1
244,3
245,3
246,2
247,3
248,0
249,3
250,1
251,3
252,3
253,3
254,0
255,2
256,1
257,2
258,2
259,3
260,0
261,2
262,3
263,3
264,2
265,1
266,1
267,3
268,3
269,1
270,2
271,2
272,2
273,0
274,2
275,1
276,3
277,3
278,3
279,2
280,0
281,1
282,0
283,1
284,2
285,1
286,1
287,0
288,3
289,0
290,3
291,0
292,2
293,0
294,1
295,3
296,2
297,2
298,1
299,1
300,0
301,0
302,1
303,1
304,1
305,2
306,0
307,3
308,0
309,2
310,0
311,2
312,3
313,2
314,3
315,1
316,3
317,1
318,3
319,2
320,0
321,0
322,2
323,0
324,2
325,1
326,0
327,2
328,0
329,0
330,2
331,1
332,3
333,3
334,2
335,2
336,2
337,0
338,0
339,0
340,2
341,2
342,1
343,1
344,2
345,3
346,2
347,3
348,1
349,2
350,3
351,0
352,2
353,0
354,2
355,3
356,3
357,3
358,2
359,0
360,3
361,0
362,0
363,2
364,3
365,0
366,3
367,3
368,0
369,2
370,2
371,0
372,2
373,1
374,1
375,3
376,0
377,0
378,3
379,1
380,0
381,3
382,1
383,0
384,3
385,3
386,2
387,3
388,0
389,0
390,0
391,2
392,2
393,0
394,3
395,0
396,0
397,2
398,0
399,3
400,1
401,0
402,1
403,1
404,1
405,1
406,0
407,3
408,0
409,3
410,3
411,0
412,2
413,3
414,2
415,0
416,1
417,3
418,2
419,3
420,0
421,1
422,2
423,0
424,0
425,1
426,0
427,1
428,0
429,3
430,1
431,2
432,2
433,0
434,1
435,3
436,0
437,0
438,3
439,3
440,2
441,0
442,2
443,0
444,3
445,1
446,3
447,0
448,2
449,0
450,0
451,2
452,1
453,3
454,0
455,3
456,0
457,0
458,3
459,2
460,0
461,1
462,2
463,3
464,1
465,1
466,3
467,0
468,3
469,2
470,0
471,3
472,1
473,3
474,0
475,0
476,3
477,1
478,3
479,0
480,1
481,2
482,0
483,0
484,3
485,0
486,3
487,2
488,3
489,3
490,1
491,3
492,3
493,0
494,1
495,2
496,0
497,3
498,1
499,0
500,3
501,1
502,3
503,3
504,0
505,3
506,3
507,0
508,3
509,1
510,1
511,1
512,0
513,2
514,0
515,3
516,3
517,0
518,2
519,3
520,0
521,2
522,0
523,2
524,3
525,3
526,0
527,3
528,2
529,1
530,2
531,3
532,2
533,1
534,1
535,0
536,2
537,1
538,3
539,2
540,2
541,2
542,1
543,1
544,0
545,1
546,2
547,0
548,2
549,2
550,2
551,2
552,2
553,1
554,1
555,1
556,1
557,3
558,0
559,1
560,3
561,2
562,3
563,2
564,3
565,2
566,0
567,2
568,0
569,1
570,0
571,3
572,0
573,2
574,0
575,0
576,3
577,2
578,0
579,1
580,2
581,1
582,0
583,3
584,2
585,0
586,1
587,3
588,0
589,3
590,2
591,0
592,0
593,1
594,1
595,1
596,3
597,0
598,1
599,3
